date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:47	38283/38283	---MCZ	200	added ('OK')	text/html	etag:W/%226ba0f93f30ec87b78338460bb1be7994%22	https://brunodzi.dev/	D:/github_pages/clone/brunodzi.dev/index.html	(from )
20:31:47	23/23	---M--	200	added ('OK')	text/plain	etag:%2250d8a018e8ae96732c8a2ba663c61d4e%22	https://brunodzi.dev/robots.txt		(from )
20:31:48	115635/115635	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22f6115dd887c1c9dd36cf79c6ac78df7f%22	https://brunodzi.dev/favicon.ico	D:/github_pages/clone/brunodzi.dev/favicon.ico	(from https://brunodzi.dev/)
20:31:48	50796/50796	---MCZ	200	added ('OK')	font/otf	etag:W/%22252cfade833711d6c196905eaae75916%22	https://brunodzi.dev/_next/static/media/72a721d84b1b0091.p.otf	D:/github_pages/clone/brunodzi.dev/_next/static/media/72a721d84b1b0091.p.otf	(from https://brunodzi.dev/)
20:31:48	15178/15178	---MCZ	200	added ('OK')	text/css	etag:W/%22c196009a09f2458e75d4e5552a2c3f0f%22	https://brunodzi.dev/_next/static/css/294410e88a4e793c.css	D:/github_pages/clone/brunodzi.dev/_next/static/css/294410e88a4e793c.css	(from https://brunodzi.dev/)
20:31:49	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://brunodzi.dev/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	D:/github_pages/clone/brunodzi.dev/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://brunodzi.dev/)
20:31:49	1591/1591	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c100f2c3502bdd0325c847522b695eeb%22	https://brunodzi.dev/_next/static/chunks/webpack-ee7e63bc15b31913.js	D:/github_pages/clone/brunodzi.dev/_next/static/chunks/webpack-ee7e63bc15b31913.js	(from https://brunodzi.dev/)
20:31:49	141058/141058	---MCZ	200	added ('OK')	application/javascript	etag:W/%2236382145ff03ef62919bc92cbda86429%22	https://brunodzi.dev/_next/static/chunks/framework-3b5a00d5d7e8d93b.js	D:/github_pages/clone/brunodzi.dev/_next/static/chunks/framework-3b5a00d5d7e8d93b.js	(from https://brunodzi.dev/)
20:31:49	86109/86109	---MCZ	200	added ('OK')	application/javascript	etag:W/%220c2bf516b91c255429a3bea30369ad3c%22	https://brunodzi.dev/_next/static/chunks/main-52f5ac3e1cde7207.js	D:/github_pages/clone/brunodzi.dev/_next/static/chunks/main-52f5ac3e1cde7207.js	(from https://brunodzi.dev/)
20:31:49	99141/99141	---MCZ	200	added ('OK')	application/javascript	etag:W/%227d541861accec25dbad973a5790bc319%22	https://brunodzi.dev/_next/static/chunks/pages/_app-a9d458bf9b9e7f60.js	D:/github_pages/clone/brunodzi.dev/_next/static/chunks/pages/_app-a9d458bf9b9e7f60.js	(from https://brunodzi.dev/)
20:31:50	2117/2117	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d66433a5d6801ce366bc13964536eb46%22	https://brunodzi.dev/_next/static/chunks/1bfc9850-ea719a2832119eaf.js	D:/github_pages/clone/brunodzi.dev/_next/static/chunks/1bfc9850-ea719a2832119eaf.js	(from https://brunodzi.dev/)
20:31:50	2787/2787	---MCZ	200	added ('OK')	application/javascript	etag:W/%22535ae4a699826033dd02c73839d49657%22	https://brunodzi.dev/_next/static/chunks/0c428ae2-c89dd071c52f60fa.js	D:/github_pages/clone/brunodzi.dev/_next/static/chunks/0c428ae2-c89dd071c52f60fa.js	(from https://brunodzi.dev/)
20:31:50	15266/15266	---MCZ	200	added ('OK')	application/javascript	etag:W/%222fbaca886dacfadb058c210236a9a3db%22	https://brunodzi.dev/_next/static/chunks/421-349a5aca94640ba8.js	D:/github_pages/clone/brunodzi.dev/_next/static/chunks/421-349a5aca94640ba8.js	(from https://brunodzi.dev/)
20:31:50	25751/25751	---MCZ	200	added ('OK')	application/javascript	etag:W/%226ae4368c472c66d578f26af36a69dd78%22	https://brunodzi.dev/_next/static/chunks/pages/index-14f063f4b70315bc.js	D:/github_pages/clone/brunodzi.dev/_next/static/chunks/pages/index-14f063f4b70315bc.js	(from https://brunodzi.dev/)
20:31:50	412/412	---M--	200	added ('OK')	application/javascript	etag:%228b368fe87ece98c5c0306c561c563807%22	https://brunodzi.dev/_next/static/xb_O1gQz8b4G_R7uO9zUT/_buildManifest.js	D:/github_pages/clone/brunodzi.dev/_next/static/xb_O1gQz8b4G_R7uO9zUT/_buildManifest.js	(from https://brunodzi.dev/)
20:31:51	77/77	---M--	200	added ('OK')	application/javascript	etag:%22b6652df95db52feb4daf4eca35380933%22	https://brunodzi.dev/_next/static/xb_O1gQz8b4G_R7uO9zUT/_ssgManifest.js	D:/github_pages/clone/brunodzi.dev/_next/static/xb_O1gQz8b4G_R7uO9zUT/_ssgManifest.js	(from https://brunodzi.dev/)
20:31:51	23526/23526	---M--	200	added ('OK')	application/pdf	etag:%22fd5974da21442b9015937ddaf5bbdbfa%22	https://brunodzi.dev/pdf/brunodziecielski.pdf	D:/github_pages/clone/brunodzi.dev/pdf/brunodziecielski.pdf	(from https://brunodzi.dev/)
20:31:51	1304/1304	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2285195ebc64cc72f477a31e1ce3ca413f%22	https://brunodzi.dev/_next/static/media/typescript.51997e21.svg	D:/github_pages/clone/brunodzi.dev/_next/static/media/typescript.51997e21.svg	(from https://brunodzi.dev/)
20:31:51	1208/1208	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226ed25d61327ef06bbbd24c928fbf96ec%22	https://brunodzi.dev/_next/static/media/nextjs.b3ffac1a.svg	D:/github_pages/clone/brunodzi.dev/_next/static/media/nextjs.b3ffac1a.svg	(from https://brunodzi.dev/)
20:31:52	3149/3149	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2257acf0f5cd17be56db7325ac19aeba87%22	https://brunodzi.dev/_next/static/media/react.e810d491.svg	D:/github_pages/clone/brunodzi.dev/_next/static/media/react.e810d491.svg	(from https://brunodzi.dev/)
20:31:52	3526/3526	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ac8a2147c8208fc0c0c931db83e3219e%22	https://brunodzi.dev/_next/static/media/recoiljs.95af9579.svg	D:/github_pages/clone/brunodzi.dev/_next/static/media/recoiljs.95af9579.svg	(from https://brunodzi.dev/)
20:31:52	14871/14871	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c596eb94a634591dc42d2484c5b44ea2%22	https://brunodzi.dev/_next/static/media/nestjs.a4402a57.svg	D:/github_pages/clone/brunodzi.dev/_next/static/media/nestjs.a4402a57.svg	(from https://brunodzi.dev/)
20:31:52	5583/5583	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ff47f0d19abf84e9a3b91d4bcd0d486d%22	https://brunodzi.dev/_next/static/media/express.ca4a9096.svg	D:/github_pages/clone/brunodzi.dev/_next/static/media/express.ca4a9096.svg	(from https://brunodzi.dev/)
20:31:52	5925/5925	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225649fe40d8e82374ba55fe0827abfde3%22	https://brunodzi.dev/_next/static/media/nodejs.f276943c.svg	D:/github_pages/clone/brunodzi.dev/_next/static/media/nodejs.f276943c.svg	(from https://brunodzi.dev/)
